0:0:0:0:0:0:0:1 - - [10/Feb/2017:10:40:00 +0100] "GET /vide/servlet/First HTTP/1.1" 200 7717
0:0:0:0:0:0:0:1 - - [10/Feb/2017:10:40:03 +0100] "GET /vide/servlet/First HTTP/1.1" 200 7717
0:0:0:0:0:0:0:1 - - [10/Feb/2017:10:40:05 +0100] "GET /vide/servlet/First HTTP/1.1" 200 7717
0:0:0:0:0:0:0:1 - - [10/Feb/2017:10:46:44 +0100] "GET /vide/servlet/First HTTP/1.1" 200 7717
0:0:0:0:0:0:0:1 - - [10/Feb/2017:10:55:32 +0100] "GET /vide/servlet/First HTTP/1.1" 200 7717
0:0:0:0:0:0:0:1 - - [10/Feb/2017:10:55:33 +0100] "GET /vide/servlet/First HTTP/1.1" 200 7717
0:0:0:0:0:0:0:1 - - [10/Feb/2017:10:55:34 +0100] "GET /vide/servlet/First HTTP/1.1" 200 7765
0:0:0:0:0:0:0:1 - - [10/Feb/2017:10:55:34 +0100] "GET /vide/css/style.css HTTP/1.1" 200 16019
0:0:0:0:0:0:0:1 - - [10/Feb/2017:10:55:50 +0100] "GET /vide/servlet/First HTTP/1.1" 200 7765
0:0:0:0:0:0:0:1 - - [10/Feb/2017:10:55:50 +0100] "GET /vide/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2017:10:57:35 +0100] "GET /vide/servlet/Test HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [10/Feb/2017:10:57:37 +0100] "GET /vide/test.html HTTP/1.1" 200 2063
0:0:0:0:0:0:0:1 - - [10/Feb/2017:10:57:37 +0100] "GET /vide/css/nivo_themes/default/default.css HTTP/1.1" 200 2909
0:0:0:0:0:0:0:1 - - [10/Feb/2017:10:57:37 +0100] "GET /vide/css/font-awesome.min.css HTTP/1.1" 200 26711
0:0:0:0:0:0:0:1 - - [10/Feb/2017:10:57:37 +0100] "GET /vide/css/animate.min.css HTTP/1.1" 200 46575
0:0:0:0:0:0:0:1 - - [10/Feb/2017:10:57:37 +0100] "GET /vide/css/nivo-lightbox.css HTTP/1.1" 200 5702
0:0:0:0:0:0:0:1 - - [10/Feb/2017:10:57:37 +0100] "GET /vide/css/bootstrap.min.css HTTP/1.1" 200 122540
0:0:0:0:0:0:0:1 - - [10/Feb/2017:10:57:37 +0100] "GET /vide/css/et-line-font.css HTTP/1.1" 200 7085
0:0:0:0:0:0:0:1 - - [10/Feb/2017:10:57:37 +0100] "GET /vide/css/bxslider.css HTTP/1.1" 200 521
0:0:0:0:0:0:0:1 - - [10/Feb/2017:10:57:37 +0100] "GET /vide/css/owl.carousel.css HTTP/1.1" 200 1476
0:0:0:0:0:0:0:1 - - [10/Feb/2017:10:57:37 +0100] "GET /vide/css/owl.theme.css HTTP/1.1" 200 1665
0:0:0:0:0:0:0:1 - - [10/Feb/2017:10:57:39 +0100] "GET /vide/servlet/Test HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [10/Feb/2017:10:57:40 +0100] "GET /vide/test.html HTTP/1.1" 304 -
